D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 184246, 122600, 1.502822
1, 1152, 9209, 553720, 368360, 1.503203
1, 10240, 81913, 4928742, 3276520, 1.504261
1, 15360, 122873, 7563004, 4914920, 1.538785
1, 40960, 327673, 19897426, 13106920, 1.518086
1, 81920, 655353, 39717032, 26214120, 1.515101
1, 163840, 1310713, 80697936, 52428520, 1.539199
2, 384, 1533, 98276, 61320, 1.602674
2, 1152, 4605, 295156, 184200, 1.602367
2, 10240, 40957, 2568666, 1638280, 1.567904
2, 15360, 61437, 3948474, 2457480, 1.606717
2, 40960, 163837, 9870674, 6553480, 1.506173
2, 81920, 327677, 19575240, 13107080, 1.493486
2, 163840, 655357, 40215700, 26214280, 1.534114
4, 384, 767, 45028, 30680, 1.467666
4, 1152, 2303, 139344, 92120, 1.512636
4, 10240, 20479, 1259214, 819160, 1.537202
4, 15360, 30719, 2001478, 1228760, 1.628860
4, 40960, 81919, 5347546, 3276760, 1.631961
4, 81920, 163839, 10870930, 6553560, 1.658782
4, 163840, 327679, 21962532, 13107160, 1.675613
8, 384, 384, 23324, 15360, 1.518490
8, 1152, 1152, 79350, 46080, 1.722005
8, 10240, 10240, 670772, 409600, 1.637627
8, 15360, 15360, 1065568, 614400, 1.734323
8, 40960, 40960, 2794214, 1638400, 1.705453
8, 81920, 81920, 5750136, 3276800, 1.754802
8, 163840, 163840, 11656370, 6553600, 1.778621
16, 384, 384, 24956, 15360, 1.624740
16, 1152, 1152, 70636, 46080, 1.532899
16, 10240, 10240, 830652, 409600, 2.027959
16, 15360, 15360, 1298278, 614400, 2.113083
16, 40960, 40960, 3369766, 1638400, 2.056742
16, 81920, 81920, 9233568, 3276800, 2.817861
16, 163840, 163840, 25916522, 6553600, 3.954547
32, 384, 384, 23862, 15360, 1.553516
32, 1152, 1152, 68754, 46080, 1.492057
32, 10240, 10240, 1263640, 409600, 3.085059
32, 15360, 15360, 1323538, 614400, 2.154196
32, 40960, 40960, 4389454, 1638400, 2.679110
32, 81920, 81920, 13434674, 3276800, 4.099937
32, 163840, 163840, 35327810, 6553600, 5.390596
64, 384, 384, 25476, 15360, 1.658594
64, 1152, 1152, 78972, 46080, 1.713802
64, 10240, 10240, 920800, 409600, 2.248047
64, 15360, 15360, 1306772, 614400, 2.126908
64, 40960, 40960, 7386040, 1638400, 4.508081
64, 81920, 81920, 15827798, 3276800, 4.830261
64, 163840, 163840, 34695996, 6553600, 5.294189
128, 384, 384, 26668, 15360, 1.736198
128, 1152, 1152, 137780, 46080, 2.990017
128, 10240, 10240, 1245418, 409600, 3.040571
128, 15360, 15360, 2051074, 614400, 3.338337
128, 40960, 40960, 8599764, 1638400, 5.248879
128, 81920, 81920, 17160576, 3276800, 5.236992
128, 163840, 163840, 34600398, 6553600, 5.279602
256, 384, 384, 25440, 15360, 1.656250
256, 1152, 1152, 154352, 46080, 3.349653
256, 10240, 10240, 1848358, 409600, 4.512593
256, 15360, 15360, 3201848, 614400, 5.211341
256, 40960, 40960, 11029924, 1638400, 6.732131
256, 81920, 81920, 17365322, 3276800, 5.299476
256, 163840, 163840, 38219922, 6553600, 5.831897
512, 384, 384, 34540, 15360, 2.248698
512, 1152, 1152, 111508, 46080, 2.419878
512, 10240, 10240, 2202070, 409600, 5.376147
512, 15360, 15360, 3928894, 614400, 6.394684
512, 40960, 40960, 9728496, 1638400, 5.937803
512, 81920, 81920, 19259782, 3276800, 5.877619
512, 163840, 163840, 42079302, 6553600, 6.420792
1024, 384, 384, 75432, 15360, 4.910938
1024, 1152, 1152, 110504, 46080, 2.398090
1024, 10240, 10240, 2721450, 409600, 6.644165
1024, 15360, 15360, 3725304, 614400, 6.063320
1024, 40960, 40960, 11508840, 1638400, 7.024438
1024, 81920, 81920, 20465352, 3276800, 6.245530
1024, 163840, 163840, 40120596, 6553600, 6.121917
2048, 384, 384, 35584, 15360, 2.316667
2048, 1152, 1152, 240728, 46080, 5.224132
2048, 10240, 10240, 2674036, 409600, 6.528408
2048, 15360, 15360, 4519170, 614400, 7.355420
2048, 40960, 40960, 10924310, 1638400, 6.667670
2048, 81920, 81920, 21972832, 3276800, 6.705576
2048, 163840, 163840, 44014374, 6553600, 6.716060
4096, 384, 384, 59008, 15360, 3.841667
4096, 1152, 1152, 256962, 46080, 5.576432
4096, 10240, 10240, 2979090, 409600, 7.273169
4096, 15360, 15360, 4535662, 614400, 7.382262
4096, 40960, 40960, 11522192, 1638400, 7.032588
4096, 81920, 81920, 23636820, 3276800, 7.213385
4096, 163840, 163840, 45914766, 6553600, 7.006037
8192, 384, 384, 47612, 15360, 3.099740
8192, 1152, 1152, 246730, 46080, 5.354384
8192, 10240, 10240, 2868394, 409600, 7.002915
8192, 15360, 15360, 4591698, 614400, 7.473467
8192, 40960, 40960, 13612010, 1638400, 8.308112
8192, 81920, 81920, 27432952, 3276800, 8.371873
8192, 163840, 163840, 86570464, 6553600, 13.209604
