D: 8192, L: 32768, R: 32768, ciclos: 14614450, accesos: 1310720, ciclos/acc: 11.149940
D: 1, L: 384, R: 3065, ciclos: 178816, accesos: 122600, ciclos/acc: 1.458532
D: 1, L: 1152, R: 9209, ciclos: 546916, accesos: 368360, ciclos/acc: 1.484732
D: 1, L: 10240, R: 81913, ciclos: 4872394, accesos: 3276520, ciclos/acc: 1.487064
D: 1, L: 15360, R: 122873, ciclos: 7548090, accesos: 4914920, ciclos/acc: 1.535750
D: 1, L: 40960, R: 327673, ciclos: 20944796, accesos: 13106920, ciclos/acc: 1.597995
D: 1, L: 81920, R: 655353, ciclos: 38460612, accesos: 26214120, ciclos/acc: 1.467172
D: 1, L: 163840, R: 1310713, ciclos: 77222828, accesos: 52428520, ciclos/acc: 1.472916
D: 2, L: 384, R: 1533, ciclos: 92314, accesos: 61320, ciclos/acc: 1.505447
D: 2, L: 1152, R: 4605, ciclos: 269362, accesos: 184200, ciclos/acc: 1.462334
D: 2, L: 10240, R: 40957, ciclos: 2403756, accesos: 1638280, ciclos/acc: 1.467244
D: 2, L: 15360, R: 61437, ciclos: 3623350, accesos: 2457480, ciclos/acc: 1.474417
D: 2, L: 40960, R: 163837, ciclos: 9754540, accesos: 6553480, ciclos/acc: 1.488452
D: 2, L: 81920, R: 327677, ciclos: 19298138, accesos: 13107080, ciclos/acc: 1.472345
D: 2, L: 163840, R: 655357, ciclos: 39532440, accesos: 26214280, ciclos/acc: 1.508050
D: 4, L: 384, R: 767, ciclos: 46342, accesos: 30680, ciclos/acc: 1.510495
D: 4, L: 1152, R: 2303, ciclos: 140410, accesos: 92120, ciclos/acc: 1.524208
D: 4, L: 10240, R: 20479, ciclos: 1244964, accesos: 819160, ciclos/acc: 1.519806
D: 4, L: 15360, R: 30719, ciclos: 1879478, accesos: 1228760, ciclos/acc: 1.529573
D: 4, L: 40960, R: 81919, ciclos: 5005234, accesos: 3276760, ciclos/acc: 1.527495
D: 4, L: 81920, R: 163839, ciclos: 9996306, accesos: 6553560, ciclos/acc: 1.525325
D: 4, L: 163840, R: 327679, ciclos: 19806036, accesos: 13107160, ciclos/acc: 1.511085
D: 8, L: 384, R: 384, ciclos: 23408, accesos: 15360, ciclos/acc: 1.523958
D: 8, L: 1152, R: 1152, ciclos: 70586, accesos: 46080, ciclos/acc: 1.531814
D: 8, L: 10240, R: 10240, ciclos: 640100, accesos: 409600, ciclos/acc: 1.562744
D: 8, L: 15360, R: 15360, ciclos: 979388, accesos: 614400, ciclos/acc: 1.594056
D: 8, L: 40960, R: 40960, ciclos: 3353588, accesos: 1638400, ciclos/acc: 2.046868
D: 8, L: 81920, R: 81920, ciclos: 5128060, accesos: 3276800, ciclos/acc: 1.564960
D: 8, L: 163840, R: 163840, ciclos: 10365000, accesos: 6553600, ciclos/acc: 1.581573
D: 16, L: 384, R: 384, ciclos: 23548, accesos: 15360, ciclos/acc: 1.533073
D: 16, L: 1152, R: 1152, ciclos: 70472, accesos: 46080, ciclos/acc: 1.529340
D: 16, L: 10240, R: 10240, ciclos: 660556, accesos: 409600, ciclos/acc: 1.612686
D: 16, L: 15360, R: 15360, ciclos: 1211356, accesos: 614400, ciclos/acc: 1.971608
D: 16, L: 40960, R: 40960, ciclos: 2841924, accesos: 1638400, ciclos/acc: 1.734573
D: 16, L: 81920, R: 81920, ciclos: 6030324, accesos: 3276800, ciclos/acc: 1.840309
D: 16, L: 163840, R: 163840, ciclos: 15250214, accesos: 6553600, ciclos/acc: 2.326998
D: 32, L: 384, R: 384, ciclos: 23126, accesos: 15360, ciclos/acc: 1.505599
D: 32, L: 1152, R: 1152, ciclos: 79978, accesos: 46080, ciclos/acc: 1.735634
D: 32, L: 10240, R: 10240, ciclos: 837244, accesos: 409600, ciclos/acc: 2.044053
D: 32, L: 15360, R: 15360, ciclos: 1223972, accesos: 614400, ciclos/acc: 1.992142
D: 32, L: 40960, R: 40960, ciclos: 3081630, accesos: 1638400, ciclos/acc: 1.880878
D: 32, L: 81920, R: 81920, ciclos: 7472884, accesos: 3276800, ciclos/acc: 2.280543
D: 32, L: 163840, R: 163840, ciclos: 28148054, accesos: 6553600, ciclos/acc: 4.295052
D: 64, L: 384, R: 384, ciclos: 23846, accesos: 15360, ciclos/acc: 1.552474
D: 64, L: 1152, R: 1152, ciclos: 71032, accesos: 46080, ciclos/acc: 1.541493
D: 64, L: 10240, R: 10240, ciclos: 752140, accesos: 409600, ciclos/acc: 1.836279
D: 64, L: 15360, R: 15360, ciclos: 1086840, accesos: 614400, ciclos/acc: 1.768945
D: 64, L: 40960, R: 40960, ciclos: 3546444, accesos: 1638400, ciclos/acc: 2.164578
D: 64, L: 81920, R: 81920, ciclos: 13142120, accesos: 3276800, ciclos/acc: 4.010657
D: 64, L: 163840, R: 163840, ciclos: 29829034, accesos: 6553600, ciclos/acc: 4.551549
D: 128, L: 384, R: 384, ciclos: 23858, accesos: 15360, ciclos/acc: 1.553255
D: 128, L: 1152, R: 1152, ciclos: 75886, accesos: 46080, ciclos/acc: 1.646832
D: 128, L: 10240, R: 10240, ciclos: 793316, accesos: 409600, ciclos/acc: 1.936807
D: 128, L: 15360, R: 15360, ciclos: 1164260, accesos: 614400, ciclos/acc: 1.894954
D: 128, L: 40960, R: 40960, ciclos: 6573546, accesos: 1638400, ciclos/acc: 4.012174
D: 128, L: 81920, R: 81920, ciclos: 14909746, accesos: 3276800, ciclos/acc: 4.550093
D: 128, L: 163840, R: 163840, ciclos: 30810764, accesos: 6553600, ciclos/acc: 4.701349
D: 256, L: 384, R: 384, ciclos: 23538, accesos: 15360, ciclos/acc: 1.532422
D: 256, L: 1152, R: 1152, ciclos: 87950, accesos: 46080, ciclos/acc: 1.908637
D: 256, L: 10240, R: 10240, ciclos: 1003060, accesos: 409600, ciclos/acc: 2.448877
D: 256, L: 15360, R: 15360, ciclos: 2259918, accesos: 614400, ciclos/acc: 3.678252
D: 256, L: 40960, R: 40960, ciclos: 7809534, accesos: 1638400, ciclos/acc: 4.766561
D: 256, L: 81920, R: 81920, ciclos: 16534230, accesos: 3276800, ciclos/acc: 5.045847
D: 256, L: 163840, R: 163840, ciclos: 30083476, accesos: 6553600, ciclos/acc: 4.590374
D: 512, L: 384, R: 384, ciclos: 35106, accesos: 15360, ciclos/acc: 2.285547
D: 512, L: 1152, R: 1152, ciclos: 89524, accesos: 46080, ciclos/acc: 1.942795
D: 512, L: 10240, R: 10240, ciclos: 1757240, accesos: 409600, ciclos/acc: 4.290137
D: 512, L: 15360, R: 15360, ciclos: 2966118, accesos: 614400, ciclos/acc: 4.827666
D: 512, L: 40960, R: 40960, ciclos: 8747408, accesos: 1638400, ciclos/acc: 5.338994
D: 512, L: 81920, R: 81920, ciclos: 17898682, accesos: 3276800, ciclos/acc: 5.462244
D: 512, L: 163840, R: 163840, ciclos: 38802920, accesos: 6553600, ciclos/acc: 5.920856
D: 1024, L: 384, R: 384, ciclos: 77436, accesos: 15360, ciclos/acc: 5.041406
D: 1024, L: 1152, R: 1152, ciclos: 155820, accesos: 46080, ciclos/acc: 3.381510
D: 1024, L: 10240, R: 10240, ciclos: 2052248, accesos: 409600, ciclos/acc: 5.010371
D: 1024, L: 15360, R: 15360, ciclos: 3231114, accesos: 614400, ciclos/acc: 5.258975
D: 1024, L: 40960, R: 40960, ciclos: 9044420, accesos: 1638400, ciclos/acc: 5.520276
D: 1024, L: 81920, R: 81920, ciclos: 19550770, accesos: 3276800, ciclos/acc: 5.966422
D: 1024, L: 163840, R: 163840, ciclos: 39703450, accesos: 6553600, ciclos/acc: 6.058266
D: 2048, L: 384, R: 384, ciclos: 39676, accesos: 15360, ciclos/acc: 2.583073
D: 2048, L: 1152, R: 1152, ciclos: 151774, accesos: 46080, ciclos/acc: 3.293707
D: 2048, L: 10240, R: 10240, ciclos: 2451816, accesos: 409600, ciclos/acc: 5.985879
D: 2048, L: 15360, R: 15360, ciclos: 3616896, accesos: 614400, ciclos/acc: 5.886875
D: 2048, L: 40960, R: 40960, ciclos: 11033896, accesos: 1638400, ciclos/acc: 6.734556
D: 2048, L: 81920, R: 81920, ciclos: 21753368, accesos: 3276800, ciclos/acc: 6.638601
D: 2048, L: 163840, R: 163840, ciclos: 43021842, accesos: 6553600, ciclos/acc: 6.564612
D: 4096, L: 384, R: 384, ciclos: 32780, accesos: 15360, ciclos/acc: 2.134115
D: 4096, L: 1152, R: 1152, ciclos: 248362, accesos: 46080, ciclos/acc: 5.389800
D: 4096, L: 10240, R: 10240, ciclos: 2550106, accesos: 409600, ciclos/acc: 6.225845
D: 4096, L: 15360, R: 15360, ciclos: 3879890, accesos: 614400, ciclos/acc: 6.314925
D: 4096, L: 40960, R: 40960, ciclos: 11242698, accesos: 1638400, ciclos/acc: 6.861998
D: 4096, L: 81920, R: 81920, ciclos: 22455722, accesos: 3276800, ciclos/acc: 6.852943
D: 4096, L: 163840, R: 163840, ciclos: 45135752, accesos: 6553600, ciclos/acc: 6.887169
D: 8192, L: 384, R: 384, ciclos: 78692, accesos: 15360, ciclos/acc: 5.123177
D: 8192, L: 1152, R: 1152, ciclos: 325912, accesos: 46080, ciclos/acc: 7.072743
D: 8192, L: 10240, R: 10240, ciclos: 2985884, accesos: 409600, ciclos/acc: 7.289756
D: 8192, L: 15360, R: 15360, ciclos: 4559960, accesos: 614400, ciclos/acc: 7.421810
D: 8192, L: 40960, R: 40960, ciclos: 14229016, accesos: 1638400, ciclos/acc: 8.684702
D: 8192, L: 81920, R: 81920, ciclos: 29195948, accesos: 3276800, ciclos/acc: 8.909896
D: 8192, L: 163840, R: 163840, ciclos: 63343660, accesos: 6553600, ciclos/acc: 9.665475
