D:, L:, R:, ciclos:, accesos:, ciclos/acc:
1, 384, 3065, 217136, 122600, 1.771093
1, 1152, 9209, 663418, 368360, 1.801004
1, 10240, 81913, 5815898, 3276520, 1.775023
1, 15360, 122873, 8737706, 4914920, 1.777792
1, 40960, 327673, 23363206, 13106920, 1.782509
1, 81920, 655353, 46683840, 26214120, 1.780866
1, 163840, 1310713, 93312422, 52428520, 1.779803
2, 384, 1533, 119592, 61320, 1.950294
2, 1152, 4605, 326998, 184200, 1.775233
2, 10240, 40957, 2912602, 1638280, 1.777841
2, 15360, 61437, 4377636, 2457480, 1.781352
2, 40960, 163837, 11697754, 6553480, 1.784968
2, 81920, 327677, 23365136, 13107080, 1.782635
2, 163840, 655357, 46789646, 26214280, 1.784892
4, 384, 767, 54464, 30680, 1.775228
4, 1152, 2303, 164152, 92120, 1.781937
4, 10240, 20479, 1465756, 819160, 1.789340
4, 15360, 30719, 2202836, 1228760, 1.792731
4, 40960, 81919, 5876396, 3276760, 1.793356
4, 81920, 163839, 11733334, 6553560, 1.790376
4, 163840, 327679, 23480500, 13107160, 1.791425
32, 384, 384, 28110, 15360, 1.830078
32, 1152, 1152, 83402, 46080, 1.809939
32, 10240, 10240, 957738, 409600, 2.338228
32, 15360, 15360, 1256624, 614400, 2.045286
32, 40960, 40960, 3695786, 1638400, 2.255729
32, 81920, 81920, 8432220, 3276800, 2.573309
32, 163840, 163840, 27933672, 6553600, 4.262340
256, 384, 384, 30958, 15360, 2.015495
256, 1152, 1152, 96034, 46080, 2.084071
256, 10240, 10240, 1065594, 409600, 2.601548
256, 15360, 15360, 2536890, 614400, 4.129053
256, 40960, 40960, 7965014, 1638400, 4.861459
256, 81920, 81920, 16149790, 3276800, 4.928525
256, 163840, 163840, 32747390, 6553600, 4.996855
