D:? L: ? R: ? ciclos: ? accesos: ? ciclos/acc:
1? 384? 3065? 217068? 122600? 1.770538
1? 1152? 9209? 662120? 368360? 1.797481
1? 10240? 81913? 5819520? 3276520? 1.776128
1? 15360? 122873? 8740622? 4914920? 1.778385
1? 40960? 327673? 23367750? 13106920? 1.782856
1? 81920? 655353? 46704196? 26214120? 1.781643
1? 163840? 1310713? 93276376? 52428520? 1.779115
2? 384? 1533? 108754? 61320? 1.773549
2? 1152? 4605? 326962? 184200? 1.775038
2? 10240? 40957? 2909164? 1638280? 1.775743
2? 15360? 61437? 4375820? 2457480? 1.780613
2? 40960? 163837? 11676414? 6553480? 1.781712
2? 81920? 327677? 23393926? 13107080? 1.784831
2? 163840? 655357? 46773686? 26214280? 1.784283
4? 384? 767? 54604? 30680? 1.779791
4? 1152? 2303? 164430? 92120? 1.784954
4? 10240? 20479? 1467114? 819160? 1.790998
4? 15360? 30719? 2201138? 1228760? 1.791349
4? 40960? 81919? 5877616? 3276760? 1.793728
4? 81920? 163839? 11746430? 6553560? 1.792374
4? 163840? 327679? 23503984? 13107160? 1.793217
32? 384? 384? 27966? 15360? 1.820703
32? 1152? 1152? 83430? 46080? 1.810547
32? 10240? 10240? 821722? 409600? 2.006157
32? 15360? 15360? 1412664? 614400? 2.299258
32? 40960? 40960? 3713748? 1638400? 2.266692
32? 81920? 81920? 8294884? 3276800? 2.531398
32? 163840? 163840? 27980304? 6553600? 4.269456
256? 384? 384? 30872? 15360? 2.009896
256? 1152? 1152? 101298? 46080? 2.198307
256? 10240? 10240? 998636? 409600? 2.438076
256? 15360? 15360? 2478506? 614400? 4.034027
256? 40960? 40960? 7908888? 1638400? 4.827202
256? 81920? 81920? 15973400? 3276800? 4.874695
256? 163840? 163840? 31718048? 6553600? 4.839790
