D:;L:;R:;ciclos:;accesos:;ciclos/acc:
1;384;3065;217130;122600;1,771044
1;1152;9209;652350;368360;1,770958
1;10240;81913;5822434;3276520;1,777018
1;15360;122873;8748304;4914920;1,779948
1;40960;327673;23446338;13106920;1,788852
1;81920;655353;46929306;26214120;1,790230
1;163840;1310713;93317596;52428520;1,779901
2;384;1533;108712;61320;1,772864
2;1152;4605;326664;184200;1,773420
2;10240;40957;2911592;1638280;1,777225
2;15360;61437;4385614;2457480;1,784598
2;40960;163837;11695524;6553480;1,784628
2;81920;327677;23440476;13107080;1,788383
2;163840;655357;46940216;26214280;1,790635
4;384;767;54482;30680;1,775815
4;1152;2303;164296;92120;1,783500
4;10240;20479;1465176;819160;1,788632
4;15360;30719;2202998;1228760;1,792863
4;40960;81919;5916184;3276760;1,805498
4;81920;163839;11770118;6553560;1,795988
4;163840;327679;23539114;13107160;1,795897
8;384;384;27424;15360;1,785417
8;1152;1152;83270;46080;1,807075
8;10240;10240;756202;409600;1,846196
8;15360;15360;1140484;614400;1,856257
8;40960;40960;3005448;1638400;1,834380
8;81920;81920;6061956;3276800;1,849962
8;163840;163840;12068680;6553600;1,841534
16;384;384;27672;15360;1,801562
16;1152;1152;83174;46080;1,804991
16;10240;10240;809636;409600;1,976650
16;15360;15360;1415604;614400;2,304043
16;40960;40960;3357306;1638400;2,049137
16;81920;81920;8050670;3276800;2,456870
16;163840;163840;15223542;6553600;2,322928
32;384;384;28100;15360;1,829427
32;1152;1152;83354;46080;1,808898
32;10240;10240;860274;409600;2,100278
32;15360;15360;1388082;614400;2,259248
32;40960;40960;3748800;1638400;2,288086
32;81920;81920;7415244;3276800;2,262953
32;163840;163840;28032456;6553600;4,277413
64;384;384;28170;15360;1,833984
64;1152;1152;86494;46080;1,877040
64;10240;10240;897208;409600;2,190449
64;15360;15360;1235306;614400;2,010589
64;40960;40960;3770682;1638400;2,301442
64;81920;81920;14524776;3276800;4,432610
64;163840;163840;32688854;6553600;4,987923
128;384;384;28554;15360;1,858984
128;1152;1152;89780;46080;1,948351
128;10240;10240;823268;409600;2,009932
128;15360;15360;1228282;614400;1,999157
128;40960;40960;6785476;1638400;4,141526
128;81920;81920;14223948;3276800;4,340804
128;163840;163840;28678692;6553600;4,376021
256;384;384;30204;15360;1,966406
256;1152;1152;102732;46080;2,229427
256;10240;10240;1084926;409600;2,648745
256;15360;15360;2629398;614400;4,279619
256;40960;40960;7946546;1638400;4,850187
256;81920;81920;16019514;3276800;4,888768
256;163840;163840;32222766;6553600;4,916804
512;384;384;39288;15360;2,557812
512;1152;1152;98080;46080;2,128472
512;10240;10240;2198960;409600;5,368555
512;15360;15360;3448618;614400;5,612985
512;40960;40960;9149260;1638400;5,584265
512;81920;81920;18779358;3276800;5,731005
512;163840;163840;37215134;6553600;5,678579
1024;384;384;49448;15360;3,219271
1024;1152;1152;95504;46080;2,072569
1024;10240;10240;2484900;409600;6,066650
1024;15360;15360;3718620;614400;6,052441
1024;40960;40960;9730334;1638400;5,938925
1024;81920;81920;19589692;3276800;5,978300
1024;163840;163840;39532992;6553600;6,032256
2048;384;384;33702;15360;2,194141
2048;1152;1152;103366;46080;2,243186
2048;10240;10240;2621764;409600;6,400791
2048;15360;15360;3893846;614400;6,337640
2048;40960;40960;10699490;1638400;6,530450
2048;81920;81920;22213558;3276800;6,779040
2048;163840;163840;42956530;6553600;6,554646
4096;384;384;38710;15360;2,520182
4096;1152;1152;217762;46080;4,725738
4096;10240;10240;2562230;409600;6,255444
4096;15360;15360;3787016;614400;6,163763
4096;40960;40960;10397058;1638400;6,345861
4096;81920;81920;20723354;3276800;6,324266
4096;163840;163840;41244052;6553600;6,293343
8192;384;384;93994;15360;6,119401
8192;1152;1152;341974;46080;7,421311
8192;10240;10240;3432422;409600;8,379937
8192;15360;15360;5168004;614400;8,411465
8192;40960;40960;13964518;1638400;8,523265
8192;81920;81920;27513244;3276800;8,396376
8192;163840;163840;55584670;6553600;8,481548
