############ Ejecución 1 ############
D: 1, L: 256, R: 2041, ciclos: 130612, accesos: 81640, ciclos/acc: 1.599853
D: 1, L: 768, R: 6137, ciclos: 392846, accesos: 245480, ciclos/acc: 1.600318
D: 1, L: 2048, R: 16377, ciclos: 1055652, accesos: 655080, ciclos/acc: 1.611486
D: 1, L: 3072, R: 24569, ciclos: 1571910, accesos: 982760, ciclos/acc: 1.599485
D: 1, L: 8192, R: 65529, ciclos: 4199808, accesos: 2621160, ciclos/acc: 1.602271
D: 1, L: 16384, R: 131065, ciclos: 8422728, accesos: 5242600, ciclos/acc: 1.606594
D: 1, L: 32768, R: 262137, ciclos: 16430928, accesos: 10485480, ciclos/acc: 1.567017
D: 2, L: 256, R: 1021, ciclos: 61492, accesos: 40840, ciclos/acc: 1.505681
D: 2, L: 768, R: 3069, ciclos: 184886, accesos: 122760, ciclos/acc: 1.506077
D: 2, L: 2048, R: 8189, ciclos: 492932, accesos: 327560, ciclos/acc: 1.504860
D: 2, L: 3072, R: 12285, ciclos: 799722, accesos: 491400, ciclos/acc: 1.627436
D: 2, L: 8192, R: 32765, ciclos: 2107870, accesos: 1310600, ciclos/acc: 1.608324
D: 2, L: 16384, R: 65533, ciclos: 4221676, accesos: 2621320, ciclos/acc: 1.610515
D: 2, L: 32768, R: 131069, ciclos: 7943118, accesos: 5242760, ciclos/acc: 1.515064
D: 4, L: 256, R: 511, ciclos: 30838, accesos: 20440, ciclos/acc: 1.508708
D: 4, L: 768, R: 1535, ciclos: 92904, accesos: 61400, ciclos/acc: 1.513094
D: 4, L: 2048, R: 4095, ciclos: 259710, accesos: 163800, ciclos/acc: 1.585531
D: 4, L: 3072, R: 6143, ciclos: 394938, accesos: 245720, ciclos/acc: 1.607268
D: 4, L: 8192, R: 16383, ciclos: 1053624, accesos: 655320, ciclos/acc: 1.607801
D: 4, L: 16384, R: 32767, ciclos: 2194192, accesos: 1310680, ciclos/acc: 1.674087
D: 4, L: 32768, R: 65535, ciclos: 4217596, accesos: 2621400, ciclos/acc: 1.608910
D: 8, L: 256, R: 256, ciclos: 16602, accesos: 10240, ciclos/acc: 1.621289
D: 8, L: 768, R: 768, ciclos: 49754, accesos: 30720, ciclos/acc: 1.619596
D: 8, L: 2048, R: 2048, ciclos: 133158, accesos: 81920, ciclos/acc: 1.625464
D: 8, L: 3072, R: 3072, ciclos: 199690, accesos: 122880, ciclos/acc: 1.625081
D: 8, L: 8192, R: 8192, ciclos: 533522, accesos: 327680, ciclos/acc: 1.628180
D: 8, L: 16384, R: 16384, ciclos: 1114782, accesos: 655360, ciclos/acc: 1.701022
D: 8, L: 32768, R: 32768, ciclos: 2181112, accesos: 1310720, ciclos/acc: 1.664056
D: 16, L: 256, R: 256, ciclos: 16652, accesos: 10240, ciclos/acc: 1.626172
D: 16, L: 768, R: 768, ciclos: 50224, accesos: 30720, ciclos/acc: 1.634896
D: 16, L: 2048, R: 2048, ciclos: 133198, accesos: 81920, ciclos/acc: 1.625952
D: 16, L: 3072, R: 3072, ciclos: 207748, accesos: 122880, ciclos/acc: 1.690658
D: 16, L: 8192, R: 8192, ciclos: 557616, accesos: 327680, ciclos/acc: 1.701709
D: 16, L: 16384, R: 16384, ciclos: 1355808, accesos: 655360, ciclos/acc: 2.068799
D: 16, L: 32768, R: 32768, ciclos: 2480894, accesos: 1310720, ciclos/acc: 1.892772
D: 32, L: 256, R: 256, ciclos: 15906, accesos: 10240, ciclos/acc: 1.553320
D: 32, L: 768, R: 768, ciclos: 47132, accesos: 30720, ciclos/acc: 1.534245
D: 32, L: 2048, R: 2048, ciclos: 125698, accesos: 81920, ciclos/acc: 1.534399
D: 32, L: 3072, R: 3072, ciclos: 197672, accesos: 122880, ciclos/acc: 1.608659
D: 32, L: 8192, R: 8192, ciclos: 630184, accesos: 327680, ciclos/acc: 1.923169
D: 32, L: 16384, R: 16384, ciclos: 1422992, accesos: 655360, ciclos/acc: 2.171313
D: 32, L: 32768, R: 32768, ciclos: 2933136, accesos: 1310720, ciclos/acc: 2.237805
D: 64, L: 256, R: 256, ciclos: 17026, accesos: 10240, ciclos/acc: 1.662695
D: 64, L: 768, R: 768, ciclos: 50462, accesos: 30720, ciclos/acc: 1.642643
D: 64, L: 2048, R: 2048, ciclos: 138382, accesos: 81920, ciclos/acc: 1.689233
D: 64, L: 3072, R: 3072, ciclos: 230446, accesos: 122880, ciclos/acc: 1.875374
D: 64, L: 8192, R: 8192, ciclos: 620576, accesos: 327680, ciclos/acc: 1.893848
D: 64, L: 16384, R: 16384, ciclos: 1305196, accesos: 655360, ciclos/acc: 1.991571
D: 64, L: 32768, R: 32768, ciclos: 3400950, accesos: 1310720, ciclos/acc: 2.594719
D: 128, L: 256, R: 256, ciclos: 17196, accesos: 10240, ciclos/acc: 1.679297
D: 128, L: 768, R: 768, ciclos: 51228, accesos: 30720, ciclos/acc: 1.667578
D: 128, L: 2048, R: 2048, ciclos: 174554, accesos: 81920, ciclos/acc: 2.130786
D: 128, L: 3072, R: 3072, ciclos: 232552, accesos: 122880, ciclos/acc: 1.892513
D: 128, L: 8192, R: 8192, ciclos: 683704, accesos: 327680, ciclos/acc: 2.086499
D: 128, L: 16384, R: 16384, ciclos: 1551178, accesos: 655360, ciclos/acc: 2.366910
D: 128, L: 32768, R: 32768, ciclos: 5425354, accesos: 1310720, ciclos/acc: 4.139217
D: 256, L: 256, R: 256, ciclos: 16272, accesos: 10240, ciclos/acc: 1.589063
D: 256, L: 768, R: 768, ciclos: 58756, accesos: 30720, ciclos/acc: 1.912630
D: 256, L: 2048, R: 2048, ciclos: 168012, accesos: 81920, ciclos/acc: 2.050928
D: 256, L: 3072, R: 3072, ciclos: 249752, accesos: 122880, ciclos/acc: 2.032487
D: 256, L: 8192, R: 8192, ciclos: 951248, accesos: 327680, ciclos/acc: 2.902979
D: 256, L: 16384, R: 16384, ciclos: 2858116, accesos: 655360, ciclos/acc: 4.361139
D: 256, L: 32768, R: 32768, ciclos: 6748584, accesos: 1310720, ciclos/acc: 5.148761
D: 512, L: 256, R: 256, ciclos: 20046, accesos: 10240, ciclos/acc: 1.957617
D: 512, L: 768, R: 768, ciclos: 66656, accesos: 30720, ciclos/acc: 2.169792
D: 512, L: 2048, R: 2048, ciclos: 189514, accesos: 81920, ciclos/acc: 2.313403
D: 512, L: 3072, R: 3072, ciclos: 318554, accesos: 122880, ciclos/acc: 2.592399
D: 512, L: 8192, R: 8192, ciclos: 1697236, accesos: 327680, ciclos/acc: 5.179553
D: 512, L: 16384, R: 16384, ciclos: 3436832, accesos: 655360, ciclos/acc: 5.244189
D: 512, L: 32768, R: 32768, ciclos: 7266740, accesos: 1310720, ciclos/acc: 5.544083
D: 1024, L: 256, R: 256, ciclos: 19478, accesos: 10240, ciclos/acc: 1.902148
D: 1024, L: 768, R: 768, ciclos: 81068, accesos: 30720, ciclos/acc: 2.638932
D: 1024, L: 2048, R: 2048, ciclos: 184994, accesos: 81920, ciclos/acc: 2.258228
D: 1024, L: 3072, R: 3072, ciclos: 394062, accesos: 122880, ciclos/acc: 3.206885
D: 1024, L: 8192, R: 8192, ciclos: 1434908, accesos: 327680, ciclos/acc: 4.378992
D: 1024, L: 16384, R: 16384, ciclos: 3668666, accesos: 655360, ciclos/acc: 5.597940
D: 1024, L: 32768, R: 32768, ciclos: 7263592, accesos: 1310720, ciclos/acc: 5.541681
